name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Dyke Cato,11200616,West Indies,1979-08-02,Right-hand bat,Right-arm offbreak,333083
Delano Mussington,11200592,West Indies,1985-08-30,Right-hand bat,Right-arm fast-medium,252837
Dave Joseph,11200585,West Indies,1969-11-15,Right-hand bat,Right-arm medium-fast,52204
Davon Williams,11200588,West Indies,1972-05-27,Right-hand bat,Right-arm offbreak,53275
Dwight Washington,11200615,West Indies,1983-03-05,Right-hand bat,Right-arm fast,53355
Dennison Browne,11200597,West Indies,1986-05-06,Right-hand bat,Right-arm medium,252930
Daren Sweeney,11200580,West Indies,1970-06-09,Left-hand bat,Right-arm medium,252968
Earnil Ryan,11200617,West Indies,1981-12-29,,,52920
Delroy Taylor,11200595,West Indies,1975-06-30,Right-hand bat,Right-arm medium,53146
Daren Powell,11200579,West Indies,1978-04-15,Right-hand bat,Right-arm fast-medium,52790
Daniel Singh,11200578,West Indies,1972-05-05,Left-hand bat,,252956
Damian Ebanks,11200576,West Indies,1987-06-16,Left-hand bat,,370841
Dave Mohammed,11200586,West Indies,1979-10-08,Left-hand bat,Slow left-arm unorthodox,52490
Dale Mason,11200575,West Indies,1974-08-28,Right-hand bat,,52460
Nishu Choudhary,4506832,India,1991-06-26,Right-hand bat,Right-arm medium,442144
Denis Smith,11200596,West Indies,1991-10-30,Right-hand bat,,843937
Dwight Mais,11200614,West Indies,1977-10-27,Right-hand bat,Right-arm fast,52417
Gary Solomon,11200642,West Indies,1973-09-15,Right-hand bat,Right-arm medium,252894
Garey Mathurin,11200640,West Indies,1983-09-23,Left-hand bat,Slow left-arm orthodox,252940
Imran Jan,11200672,West Indies,1979-02-11,Left-hand bat,Right-arm offbreak,52218
Gregory Brathwaite,11200655,West Indies,1969-12-09,,,445483
Hasena Mohammed,11200661,West Indies,1995-05-11,Right-hand bat,Right-arm medium,578102
Ian Bradshaw,11200671,West Indies,1974-07-09,Left-hand bat,Left-arm fast-medium,51246
Gynandad Sukhdeo,11200658,West Indies,1975-05-20,,,656357
Darius Martin,11200581,West Indies,1995-08-27,Right-hand bat,Right-arm medium,1223296
Erva Giddings,11200626,West Indies,1986-01-17,Left-hand bat,Right-arm fast-medium,370134
Esuan Crandon,11200628,West Indies,1981-12-17,Left-hand bat,Right-arm fast,51627
Hema Singh,11200664,West Indies,1991-11-01,Left-hand bat,Right-arm medium,578103
Gareth Breese,11200639,West Indies,1976-01-09,Right-hand bat,Right-arm offbreak,51244
Glenicia James,11200651,West Indies,1974-06-16,Right-hand bat,,55172
Gavin Wallace,11200644,West Indies,1984-12-22,Right-hand bat,Legbreak,340318
Andrew Gilmour,11400724,Zimbabwe,1970-08-04,Left-hand bat,,55466
Karl Grant,11200719,West Indies,1992-03-30,Right-hand bat,,760473
Jason Haynes,11200683,West Indies,1981-03-07,Left-hand bat,,52193
Javon Searles,11200688,West Indies,1986-12-21,Right-hand bat,Right-arm fast-medium,230554
Jameel Stuart,11200680,West Indies,1995-02-11,Left-hand bat,Right-arm offbreak,1134909
Kaymiah Jones,11200723,West Indies,1996-05-03,Right-hand bat,Right-arm medium,661315
Jason Smith,11200685,West Indies,1984-06-04,Right-hand bat,Right-arm offbreak,53126
Jason Williams,11200686,West Indies,1976-09-05,Right-hand bat,,53243
Imran Khan,11200674,West Indies,1982-05-13,Right-hand bat,Right-arm medium,254125
Jevoy Spence,11200697,West Indies,1996-11-10,Right-hand bat,,914565
Jonathan Blades,11200704,West Indies,1975-02-03,,,499552
Justin Guillen,11200716,West Indies,1986-01-02,Left-hand bat,Right-arm offbreak,300449
Jermaine Levy,11200695,West Indies,1993-09-30,Right-hand bat,Right-arm fast,731949
Jonathan Foo,11200706,West Indies,1990-09-11,Right-hand bat,Legbreak googly,467350
Jordan Warner,11200708,West Indies,1998-01-10,Right-hand bat,,914473
Mbeki Joseph,11200791,West Indies,2001-01-02,Left-hand bat,,1209194
Kavem Hodge,11200721,West Indies,1993-02-21,Right-hand bat,Slow left-arm orthodox,348091
Javelle Glen,11200687,West Indies,1998-02-26,Left-hand bat,Legbreak,1152716
John Eugene,11200701,West Indies,1970-08-16,Right-hand bat,Right-arm offbreak,51742
Joseph Williams,11200710,West Indies,1974-09-01,Right-hand bat,Right-arm fast-medium,53273
Kassim Khan,11200720,West Indies,1997-04-09,Left-hand bat,Slow left-arm orthodox,914527
Lionel Ritchie,11200770,West Indies,1982-02-17,Right-hand bat,Right-arm offbreak,252898
Leslie Reifer,11200764,West Indies,1989-09-05,,,503174
Kenneth Hazel,11200732,West Indies,1971-08-06,Right-hand bat,Slow left-arm orthodox,52075
Kirsten Casimir,11200748,West Indies,1978-05-28,Right-hand bat,Right-arm slow,51626
Kerry Jeremy,11200739,West Indies,1980-02-06,Right-hand bat,Right-arm fast-medium,52210
Keno Mason,11200735,West Indies,1972-11-13,Right-hand bat,,52525
Lincoln Roberts,11200769,West Indies,1974-09-04,Right-hand bat,Right-arm medium,52819
Lesroy Irish,11200766,West Indies,1972-02-29,Left-hand bat,Left-arm fast-medium,53386
Kirk Harris,11200747,West Indies,1990-11-19,Right-hand bat,,432842
Khalid Springer,11200745,West Indies,1982-07-03,Right-hand bat,Right-arm medium-fast,332957
Larry Babb,11200758,West Indies,1983-05-06,Right-hand bat,Left-arm medium-fast,466939
Priyanka Sahoo,4507017,India,1992-05-03,Right-hand bat,Right-arm offbreak,602510
Kenroy Peters,11200736,West Indies,1982-02-24,Right-hand bat,Left-arm medium,52796
Kemar Brathwaite,11200729,West Indies,1988-02-03,Left-hand bat,,599533
Kerry Mentore,11200740,West Indies,1984-09-19,Right-hand bat,,248923
Kerry Skepple,11200741,West Indies,1980-11-26,Right-hand bat,Right-arm fast-medium,249070
Leverette Taylor,11200768,West Indies,1984-09-18,Right-hand bat,Right-arm offbreak,333058
Kenneth Quinn,11200733,West Indies,1971-05-30,Right-hand bat,Right-arm fast-medium,53399
Ked Cadasse,11200727,West Indies,1987-09-05,Right-hand bat,,333064
Kimara Sabaroche,11200746,West Indies,1992-12-13,Right-hand bat,Right-arm medium,578111
Prashant Yadav,4506980,India,1994-10-27,Right-hand bat,Right-arm offbreak,1122049
Jonathan Drakes,11200705,West Indies,1994-10-11,Right-hand bat,,690543
Keagan Simmons,11200726,West Indies,1999-03-26,Left-hand bat,,914471
Leslyn Brathwaite,11200765,West Indies,1993-02-03,Left-hand bat,Right-arm medium,530218
Kofi James,11200751,West Indies,1997-12-23,Right-hand bat,Right-arm offbreak,914581
Jeavor Royal,11200692,West Indies,1998-12-02,Right-hand bat,Slow left-arm orthodox,1078697
Livingstone Puckerin,11200771,West Indies,1969-06-19,Right-hand bat,,52721
Kyron Gregory Nello Lynch,11200757,West Indies,1981-08-08,,,52415
Odean Brown,11200825,West Indies,1982-02-08,Right-hand bat,Legbreak,51287
Merlin Liburd,11200796,West Indies,1969-12-15,Right-hand bat,Right-arm fast-medium,52369
Lyndon Rajkumar,11200778,West Indies,1975-07-06,,,578112
Pusthag Nag,4507035,India,1995-09-08,Right-hand bat,Right-arm medium,777777
Maxian Richardson,11200789,West Indies,1975-09-15,Right-hand bat,,252888
Marlon Bryson,11200780,West Indies,1986-02-19,Right-hand bat,Right-arm medium-fast,332946
Moreland le Blanc,11200806,West Indies,1989-05-25,Right-hand bat,Right-arm offbreak,333080
Maurice Clarke,11200787,West Indies,1981-09-09,Right-hand bat,,51631
Michael Hylton,11200803,West Indies,1970-03-08,,,338143
Nadia-Rose Hinds,11200810,West Indies,1990-09-24,Right-hand bat,Right-arm offbreak,908435
Nesta Piper,11200815,West Indies,1982-12-04,Right-hand bat,,252967
Mervin Charles,11200798,West Indies,1985-09-26,Right-hand bat,,252943
Martin Nurse,11200783,West Indies,1985-06-11,Left-hand bat,Right-arm medium,52665
Nyasha Williams,11200823,West Indies,1988-12-24,Left-hand bat,Right-arm offbreak,769537
Mervyn Dillon,11200800,West Indies,1974-06-05,Right-hand bat,Right-arm fast-medium,51651
Mervin Matthew,11200799,West Indies,1985-09-23,Right-hand bat,Right-arm fast-medium,52621
Nicholas Ramjass,11200817,West Indies,1982-11-02,Left-hand bat,Slow left-arm orthodox,252884
Keon Harding,11200737,West Indies,1996-11-01,Right-hand bat,Right-arm medium,906755
Leroy Lugg,11200762,West Indies,1996-08-05,Right-hand bat,,670039
Kevon Cooper,11200743,West Indies,1989-02-16,Right-hand bat,Right-arm medium,371814
Michael Dover,11200802,West Indies,1996-03-31,Right-hand bat,,1139037
Omari Allen,11200827,West Indies,1990-07-19,Right-hand bat,Right-arm offbreak,252965
Merissa Aguilleira,11200795,West Indies,1985-12-14,Right-hand bat,,355348
Nordel Lake,11200822,West Indies,1991-09-15,Right-hand bat,Right-arm offbreak,334893
Myron Wilson,11200809,West Indies,1979-11-29,Right-hand bat,Right-arm offbreak,748767
Maxford Pipe,11200788,West Indies,1978-12-06,Right-hand bat,Right-arm offbreak,221296
Matthew Patrick,11200786,West Indies,2000-10-10,Left-hand bat,Right-arm offbreak,1078696
Ojay Shields,11200826,West Indies,1996-02-14,Right-hand bat,Right-arm fast-medium,1134962
Miguel Cummins,11200804,West Indies,1990-09-05,Left-hand bat,Right-arm fast-medium,556749
Matthew Nandu,11200785,West Indies,2003-06-09,Left-hand bat,Right-arm offbreak,1195686
Rajni Devi,4507104,India,1999-02-03,Right-hand bat,Legbreak,961031
Richard Smith,11200868,West Indies,1971-07-17,Right-hand bat,Right-arm medium,52942
Robin Browne,11200876,West Indies,1970-05-26,Right-hand bat,Right-arm medium,51294
Parmesh Parsotam,11200831,West Indies,1996-11-06,Right-hand bat,,914549
Rishi Bachan,11200872,West Indies,1986-11-04,Right-hand bat,Right-arm offbreak,51448
Rodney Sooklal,11200877,West Indies,1980-12-21,Right-hand bat,Right-arm medium,52959
Pamela Lavine,11200830,West Indies,1969-03-12,Right-hand bat,Right-arm fast,55194
Reynard Leveridge,11200862,West Indies,1990-09-15,Right-hand bat,Right-arm fast,1056843
Roger Davis,11200878,West Indies,1978-04-24,,,474204
Othhneil Baptiste,11200829,West Indies,1981-12-09,Right-hand bat,Right-arm medium-fast,252890
Omar Phillips,11200828,West Indies,1986-10-12,Left-hand bat,Right-arm medium-fast,315585
Phernel Charles,11200838,West Indies,1974-04-29,Right-hand bat,Right-arm fast-medium,370133
Phillip Browne,11200839,West Indies,1982-02-11,,Right-arm fast,51434
Pedro Collins,11200835,West Indies,1976-08-12,Right-hand bat,Left-arm fast-medium,51479
Richard Kelly,11200866,West Indies,1984-02-19,Left-hand bat,Right-arm fast-medium,52333
Rohan Sarjoo,11200880,West Indies,1978-11-13,Left-hand bat,,52993
Raymond Casimir,11200855,West Indies,1976-10-28,Left-hand bat,Slow left-arm orthodox,51633
Marlon Samuels,11200782,West Indies,1981-02-05,Right-hand bat,Right-arm offbreak,52983
Rawl Lewis,11200853,West Indies,1974-09-05,Right-hand bat,Legbreak googly,52343
Renaldo Arthur,11200859,West Indies,1989-01-22,Right-hand bat,,391835
Rashida Goring,11200852,West Indies,1988-09-05,Right-hand bat,Right-arm medium,530217
Romario Pierre,11200883,West Indies,1997-01-02,Left-hand bat,Right-arm fast-medium,906787
Rontte Sandford,11200889,West Indies,1999-11-09,Right-hand bat,Right-arm medium,909123
Ryan Austin,11200898,West Indies,1981-11-15,Right-hand bat,Right-arm offbreak,51194
Shalite Lopez,11200923,West Indies,1994-06-08,Right-hand bat,Right-arm fast-medium,769385
Royston Crandon,11200894,West Indies,1983-05-31,Right-hand bat,Right-arm offbreak,275943
Selwyn Hamilton,11200913,West Indies,1982-06-18,Right-hand bat,Right-arm fast-medium,333031
Shahid Crooks,11200919,West Indies,1996-12-22,Right-hand bat,Right-arm medium-fast,914551
Ronnette Sanford,11200887,West Indies,1999-09-11,Right-hand bat,Right-arm fast-medium,769399
Rommel Haynes,11200884,West Indies,1981-06-13,Right-hand bat,Right-arm medium-fast,333073
Abdul Aziz,100715,Afghanistan,1992-02-12,,,1015379
Ron Matthews,11200886,West Indies,1983-01-11,Right-hand bat,Right-arm offbreak,52508
Sewnarine Chattergoon,11200915,West Indies,1981-04-03,Left-hand bat,Legbreak,51492
Sean Thompson,11200911,West Indies,1972-09-05,Right-hand bat,Legbreak,53154
Sean Buchanan,11200910,West Indies,1984-10-20,Right-hand bat,,333057
Shana Thompson,11200928,West Indies,1996-03-13,Right-hand bat,Right-arm medium,576502
Ryan Willoughby,11200903,West Indies,1976-11-27,,,530154
Shacaya Thomas,11200918,West Indies,1988-09-25,Right-hand bat,,314651
Ryan Nurse,11200901,West Indies,1983-04-24,Right-hand bat,Right-arm fast-medium,52662
Roshon Primus,11200890,West Indies,1995-08-14,Right-hand bat,Right-arm medium,1065662
Ronsford Beaton,11200888,West Indies,1992-09-17,Right-hand bat,Right-arm fast-medium,498440
Richie Richards,11200869,West Indies,1990-10-20,Right-hand bat,Right-arm offbreak,1223323
Seon Sween,11200914,West Indies,1988-03-09,Right-hand bat,Right-arm medium,1223342
Rasanara Parwin,4507144,India,1992-05-04,Right-hand bat,Right-arm offbreak,578454
Trevon Griffith,11200967,West Indies,1991-04-18,Left-hand bat,Right-arm offbreak,432072
Romaine Morris,11200882,West Indies,1995-10-12,Left-hand bat,,1124724
Shemroy Barrington,11200934,West Indies,1988-01-20,Right-hand bat,,342586
Vernon Dumas,11200979,West Indies,1978-05-27,Right-hand bat,Right-arm offbreak,51666
Travis Persaud,11200965,West Indies,1998-02-16,Right-hand bat,Right-arm offbreak,914535
Shimei Burton,11200937,West Indies,1975-02-03,Left-hand bat,Left-arm fast,51297
Troy Tudor,11200972,West Indies,1981-10-07,,,661401
Tyrone Toussaint,11200974,West Indies,1989-08-12,,,333037
Solange Aubert,11200942,West Indies,1994-10-08,Left-hand bat,,663643
Tony Powell,11200964,West Indies,1972-12-22,Left-hand bat,Right-arm medium,52689
Taryck Gabriel,11200952,West Indies,1995-04-06,Right-hand bat,Right-arm offbreak,670023
Tremaine Harris,11200966,West Indies,1998-05-24,Right-hand bat,Slow left-arm orthodox,906759
Theodore Modeste,11200958,West Indies,1979-07-04,Right-hand bat,Right-arm fast,52499
Swayline William,11200948,West Indies,1984-10-04,Right-hand bat,Right-arm slow,474216
Stuart Williams,11200947,West Indies,1969-08-12,Right-hand bat,Right-arm medium,53234
Trevor Benn,11200968,West Indies,1985-06-11,Right-hand bat,Right-arm medium-fast,442845
Tristan Coleman,11200970,West Indies,1995-01-01,Right-hand bat,,670021
Shavorne Clarke,11200932,West Indies,1979-06-24,Left-hand bat,Left-arm medium,474305
Ridhima Aggarwal,4507202,India,1998-09-05,Right-hand bat,,961023
Steven Katwaroo,11200946,West Indies,1993-01-14,Right-hand bat,,348025
Sherwin Peters,11200936,West Indies,1990-05-02,Right-hand bat,Right-arm medium-fast,333077
Tyrone Daley,11200973,West Indies,1998-10-24,Left-hand bat,Slow left-arm unorthodox,914553
Tyrone Williams,11200975,West Indies,1997-10-12,Right-hand bat,Right-arm medium-fast,914611
Allan Chigoma,11400227,Zimbabwe,1994-11-02,Left-hand bat,Legbreak googly,1038217
Sebastian Moronell,11300031,Zambia,1995-08-14,Right-hand bat,Right-arm medium,637564
Andrew Durham,11400232,Zimbabwe,1982-11-19,Right-hand bat,Right-arm medium,55392
Benjamin Katsande,11400240,Zimbabwe,1985-06-07,Right-hand bat,,430710
Samir Bagus,11300028,Zambia,1979-01-12,Right-hand bat,,380622
Yohan Blake,11200993,West Indies,1989-12-26,,,923805
Bezaleel Sanyika,11400243,Zimbabwe,1983-06-09,Right-hand bat,Right-arm bowler,453154
Andre Hoffman,11400230,Zimbabwe,1978-04-23,Right-hand bat,Right-arm medium,55490
Morris Lombe,11300024,Zambia,2001-02-01,,,1155569
Artwell Nyambanje,11400235,Zimbabwe,1991-02-10,Right-hand bat,Legbreak,549370
Blessed Mutandwa,11400244,Zimbabwe,1999-12-11,Left-hand bat,Left-arm fast,596000
Benson Mubanga,11300020,Zambia,2002-07-15,,,1155560
Zamal Khan,11200997,West Indies,1986-05-23,Left-hand bat,Right-arm offbreak,52329
Bernard Mukondiwa,11400241,Zimbabwe,1984-06-03,Right-hand bat,Right-arm medium,350662
Wendell Roberts,11200986,West Indies,1974-12-30,Left-hand bat,Right-arm fast,52911
Mumba Chanda,11300025,Zambia,1994-05-05,,,475822
James Chembo,11300022,Zambia,1997-05-07,,,1089810
Sarfuddin Bangaliwala,11300029,Zambia,1989-06-25,,,380635
Barney Rogers,11400239,Zimbabwe,1982-08-20,Left-hand bat,Right-arm offbreak,55736
Bertus Erasmus,11400242,Zimbabwe,1977-12-17,Right-hand bat,Legbreak,55401
Abid Patel,11300018,Zambia,1972-02-08,Right-hand bat,,484143
Anesu Kafesu,11400234,Zimbabwe,1976-04-28,,,476192
Ashby Mutumbami,11400236,Zimbabwe,1985-11-15,Right-hand bat,Right-arm medium,305907
Zaheer Haniff,11200995,West Indies,1974-04-13,Left-hand bat,,52077
Naeem Patel,11300027,Zambia,1996-07-12,Right-hand bat,Right-arm medium,637571
Wilden Cornwall,11200987,West Indies,1973-04-29,Right-hand bat,Right-arm medium,51489
Aubrey Steyn,11400238,Zimbabwe,1978-04-24,Right-hand bat,Right-arm fast-medium,326880
Tiaan Pieterse,11300033,Zambia,2001-08-20,,,1155564
Kanswe Omala,11300023,Zambia,1997-08-14,Left-hand bat,Left-arm medium,637560
Andre Soma,11400231,Zimbabwe,1983-08-12,Right-hand bat,Right-arm medium,55750
Saviour Phiri,11300030,Zambia,2001-03-11,,,1155562
Azhar Haveliwala,11300019,Zambia,1996-02-19,Left-hand bat,Right-arm medium,637566
Rubia Syed,4507272,India,1994-05-10,Right-hand bat,Right-arm medium-fast,960895
Dakarai Kuhlengisa,11400280,Zimbabwe,1982-05-20,,,397853
Bradley McCoun,11400250,Zimbabwe,1979-04-30,Right-hand bat,Right-arm fast-medium,55587
David Bennet,11400286,Zimbabwe,2003-02-19,Right-hand bat,Legbreak,1071485
Daniel Rowett,11400284,Zimbabwe,1975-04-07,Right-hand bat,Right-arm medium-fast,55728
Donald Mlambo,11400296,Zimbabwe,1999-04-17,Right-hand bat,,1131722
Calum Price,11400262,Zimbabwe,1992-01-04,Right-hand bat,Right-arm medium,427184
Christopher Phiri,11400271,Zimbabwe,1975-05-26,,,308682
Donald Campbell,11400295,Zimbabwe,1974-06-24,Right-hand bat,,55303
Brandon Diplock,11400251,Zimbabwe,1995-08-01,Right-hand bat,Right-arm medium,672771
Brandon James,11400252,Zimbabwe,2002-05-13,Right-hand bat,Right-arm medium,1209439
Brighton Zhawi,11400258,Zimbabwe,1992-04-20,Left-hand bat,Left-arm fast-medium,936479
Daniel Hondo,11400282,Zimbabwe,1982-03-08,Right-hand bat,Right-arm fast-medium,55516
Christiaan Kok,11400269,Zimbabwe,1971-10-02,Right-hand bat,,55543
David Brent,11400287,Zimbabwe,1996-03-26,Left-hand bat,Right-arm medium,553886
Craig Dollar,11400278,Zimbabwe,1991-08-25,Right-hand bat,,427199
Charles Muliliwana,11400267,Zimbabwe,1987-07-14,Right-hand bat,Right-arm medium,235536
Darren Weber,11400285,Zimbabwe,1972-02-05,Right-hand bat,Right-arm offbreak,55860
Brian Vitori,11400255,Zimbabwe,1990-02-22,Left-hand bat,Left-arm fast-medium,235514
Damiain White,11400281,Zimbabwe,1999-07-06,Right-hand bat,,596004
David Stannard,11400288,Zimbabwe,1970-12-04,Right-hand bat,Right-arm medium,55776
Derek Carle,11400291,Zimbabwe,1973-07-12,Right-hand bat,Right-arm offbreak,55330
Bruce James,11400259,Zimbabwe,1993-06-17,Right-hand bat,Right-arm medium,1122856
Deven Bell,11400292,Zimbabwe,1994-05-13,Right-hand bat,Legbreak googly,672769
Dean Mazhawidza,11400290,Zimbabwe,1991-03-22,Right-hand bat,,397851
Donald Samunderu,11400297,Zimbabwe,1987-08-12,Right-hand bat,Right-arm offbreak,55789
Brighton Watambwa,11400257,Zimbabwe,1977-06-09,Right-hand bat,Right-arm fast-medium,55843
Conan Brewer,11400275,Zimbabwe,1982-09-30,Right-hand bat,Right-arm medium,55296
Dougie Marillier,11400298,Zimbabwe,1978-04-24,Right-hand bat,Right-arm offbreak,55578
Clement Rizhibowa,11400272,Zimbabwe,1986-05-05,Right-hand bat,Right-arm medium,350661
Bob Mudzwinga,11400248,Zimbabwe,1994-12-09,Right-hand bat,Right-arm medium-fast,724493
Bruce Sibanda,11400260,Zimbabwe,1995-05-06,Right-hand bat,Right-arm medium,697925
Clive Chitumba,11400273,Zimbabwe,1995-02-11,Right-hand bat,Right-arm medium-fast,596374
